"Source","DateOfIssue","Country","Latitude","Longitude","NewCases","NewDeaths","TotalCases","TotalDeaths","CFR"
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-1-23.pdf","44932","Democratic Republic of the Congo",-3.9416119,11.0375552,42,6,42,6,14.2857142857143
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-2-23.pdf","44938","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,42,6,14.2857142857143
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-2-23.pdf","44938","Liberia",6.4095506,-12.0952512,2,0,2,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-2-23.pdf","44938","Nigeria",9.0067583,3.3761732,3,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-3-23.pdf","44947","Democratic Republic of the Congo",-3.9416119,11.0375552,0,17,42,23,54.7619047619048
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-3-23.pdf","44947","Liberia",6.4095506,-12.0952512,0,0,2,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-3-23.pdf","44947","Nigeria",9.0067583,3.3761732,7,0,10,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-3-23.pdf","44947","Ghana",7.9016162,-3.6732021,5,0,5,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-5-23.pdf","44961","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,42,23,54.7619047619048
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-5-23.pdf","44961","Liberia",6.4095506,-12.0952512,0,0,2,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-5-23.pdf","44961","Nigeria",9.0067583,3.3761732,12,0,22,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-5-23.pdf","44961","Ghana",7.9016162,-3.6732021,0,0,5,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-6-23.pdf","44968","Democratic Republic of the Congo",-3.9416119,11.0375552,28,0,70,23,32.8571428571429
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-6-23.pdf","44968","Liberia",6.4095506,-12.0952512,0,0,2,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-6-23.pdf","44968","Nigeria",9.0067583,3.3761732,0,0,22,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-6-23.pdf","44968","Ghana",7.9016162,-3.6732021,0,0,5,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-7-23.pdf","44976","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,70,23,32.8571428571429
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-7-23.pdf","44976","Liberia",6.4095506,-12.0952512,1,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-7-23.pdf","44976","Nigeria",9.0067583,3.3761732,14,0,36,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-7-23.pdf","44976","Ghana",7.9016162,-3.6732021,0,0,5,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-9-23.pdf","44989","Democratic Republic of the Congo",-3.9416119,11.0375552,28,0,98,23,23.469387755102
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-9-23.pdf","44989","Liberia",6.4095506,-12.0952512,0,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-9-23.pdf","44989","Nigeria",9.0067583,3.3761732,11,0,47,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-9-23.pdf","44989","Ghana",7.9016162,-3.6732021,0,0,5,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-10-23.pdf","44996","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,98,23,23.469387755102
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-10-23.pdf","44996","Liberia",6.4095506,-12.0952512,0,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-10-23.pdf","44996","Nigeria",9.0067583,3.3761732,5,1,52,1,1.92307692307692
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-10-23.pdf","44996","Ghana",7.9016162,-3.6732021,2,0,7,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-12-23.pdf","45011","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,98,23,23.469387755102
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-12-23.pdf","45011","Liberia",6.4095506,-12.0952512,0,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-12-23.pdf","45011","Nigeria",9.0067583,3.3761732,7,0,59,1,1.69491525423729
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-12-23.pdf","45011","Ghana",7.9016162,-3.6732021,0,0,7,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-13-23.pdf","45017","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,98,23,23.469387755102
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-13-23.pdf","45017","Liberia",6.4095506,-12.0952512,0,0,3,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-13-23.pdf","45017","Nigeria",9.0067583,3.3761732,7,0,66,1,1.51515151515152
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-13-23.pdf","45017","Ghana",7.9016162,-3.6732021,0,0,7,0,0
"https://github.com/fbranda/disease-atlas-africa/blob/main/bulletins/2023/Africa-CDC-14-23.pdf","45026","Democratic Republic of the Congo",-3.9416119,11.0375552,0,0,98,23,23.469387755102
